effect	side	block_end_year	raw_block_total	scale	running_total	target
ecology_recovery	benefit	1400	0.0162	0.154	0.39	0.39
ecology_recovery	benefit	1450	0.0038	0.658	0.3925	0.3925
ecology_recovery	cost	1450	0.0037	1.0	0.0206	0.3225
ecology_recovery	benefit	1500	0.01	0.25	0.395	0.395
ecology_recovery	benefit	1550	0.005	0.5	0.3975	0.3975
ecology_recovery	benefit	1600	0.0125	0.2	0.4	0.4
ecology_recovery	cost	1600	0.0063	1.0	0.0269	0.33
ecology_recovery	benefit	1650	0.0125	0.2	0.4025	0.4025
ecology_recovery	benefit	1700	0.0175	0.143	0.405	0.405
ecology_recovery	benefit	1750	0.0062	0.403	0.4075	0.4075
ecology_recovery	benefit	1800	0.0293	0.085	0.41	0.41
ecology_recovery	benefit	1850	0.0295	0.11	0.4133	0.4133
ecology_recovery	benefit	1900	0.0225	0.144	0.4165	0.4165
ecology_recovery	cost	1900	0.003	1.0	0.0299	0.345
ecology_recovery	benefit	1950	0.014	0.232	0.4198	0.4198
ecology_recovery	cost	1950	0.008	1.0	0.0379	0.3475
ecology_recovery	benefit	2000	0.0125	0.26	0.423	0.423
ecology_recovery	cost	2000	0.014	1.0	0.0519	0.35
ecology_recovery	cost	2050	0.003	1.0	0.0549	0.3525
ecology_recovery	benefit	2100	0.006	1.0	0.429	0.4295
ecology_recovery	cost	2100	0.011	1.0	0.0659	0.355
ecology_recovery	benefit	2150	0.0335	0.112	0.4327	0.4327
ecology_recovery	cost	2150	0.002	1.0	0.0679	0.3575
ecology_recovery	benefit	2200	0.006	0.542	0.436	0.436
ecology_recovery	benefit	2250	0.027	0.12	0.4392	0.4392
ecology_recovery	benefit	2300	0.0155	0.21	0.4425	0.4425
ecology_recovery	cost	2300	0.003	1.0	0.0709	0.365
ecology_recovery	benefit	2350	0.026	0.125	0.4457	0.4457
ecology_recovery	benefit	2400	0.017	0.191	0.449	0.449
ecology_recovery	cost	2400	0.01	1.0	0.0809	0.37
ecology_recovery	benefit	2450	0.0108	0.972	0.4595	0.4595
ecology_recovery	benefit	2500	0.0072	1.0	0.4667	0.47
ecology_recovery	cost	2500	0.0036	1.0	0.0845	0.3775
ecology_recovery	benefit	2550	0.0054	1.0	0.4721	0.482
ecology_recovery	cost	2550	0.0144	1.0	0.0989	0.3812
ecology_recovery	benefit	2600	0.0416	0.526	0.494	0.494
ecology_recovery	cost	2600	0.008	1.0	0.1069	0.385
ecology_recovery	benefit	2650	0.0288	0.521	0.509	0.509
ecology_recovery	benefit	2700	0.0468	0.321	0.524	0.524
ecology_recovery	cost	2700	0.0046	1.0	0.1115	0.3925
ecology_recovery	benefit	2750	0.0204	0.882	0.542	0.542
ecology_recovery	cost	2750	0.008	1.0	0.1195	0.3962
ecology_recovery	benefit	2800	0.0212	0.849	0.56	0.56
ecology_recovery	benefit	2850	0.0398	0.565	0.5825	0.5825
ecology_recovery	benefit	2900	0.0294	0.765	0.605	0.605
ecology_recovery	cost	2900	0.0072	1.0	0.1267	0.4125
ecology_recovery	benefit	2950	0.0258	0.872	0.6275	0.6275
ecology_recovery	cost	2950	0.0072	1.0	0.1339	0.4188
ecology_recovery	benefit	3000	0.0184	1.0	0.6459	0.65
extraction_yield	benefit	50	0.09	1.0	0.09	0.12
extraction_yield	benefit	100	0.03	1.0	0.12	0.144
extraction_yield	benefit	150	0.046	1.0	0.166	0.166
extraction_yield	benefit	350	0.01	1.0	0.176	0.2587
extraction_yield	benefit	550	0.03	1.0	0.206	0.3707
extraction_yield	benefit	650	0.004	1.0	0.21	0.407
extraction_yield	benefit	700	0.003	1.0	0.213	0.414
extraction_yield	benefit	750	0.006	1.0	0.219	0.421
extraction_yield	benefit	850	0.006	1.0	0.225	0.435
extraction_yield	benefit	950	0.003	1.0	0.228	0.449
extraction_yield	benefit	1500	0.005	1.0	0.233	0.526
extraction_yield	benefit	1550	0.006	1.0	0.239	0.533
extraction_yield	benefit	1600	0.012	1.0	0.251	0.54
extraction_yield	benefit	1700	0.003	1.0	0.254	0.554
extraction_yield	benefit	1750	0.005	1.0	0.259	0.561
extraction_yield	benefit	1900	0.003	1.0	0.262	0.5867
extraction_yield	benefit	2000	0.014	1.0	0.276	0.6053
extraction_yield	benefit	2100	0.0074	1.0	0.2834	0.624
extraction_yield	benefit	2150	0.004	1.0	0.2874	0.6333
extraction_yield	benefit	2200	0.008	1.0	0.2954	0.6427
extraction_yield	benefit	2250	0.01	1.0	0.3054	0.652
extraction_yield	benefit	2350	0.011	1.0	0.3164	0.6707
extraction_yield	benefit	2400	0.008	1.0	0.3244	0.68
extraction_yield	benefit	2450	0.0102	1.0	0.3346	0.708
extraction_yield	benefit	2500	0.009	1.0	0.3436	0.736
extraction_yield	benefit	2600	0.005	1.0	0.3486	0.799
extraction_yield	benefit	2700	0.0084	1.0	0.357	0.869
extraction_yield	benefit	2750	0.042	1.0	0.399	0.9075
extraction_yield	benefit	2800	0.01	1.0	0.409	0.946
extraction_yield	benefit	2850	0.009	1.0	0.418	0.988
extraction_yield	benefit	2900	0.0024	1.0	0.4204	1.03
farm_mechanization	benefit	2300	0.32	0.234	0.075	0.075
farm_mechanization	benefit	2350	0.12	0.187	0.0975	0.0975
farm_mechanization	benefit	2400	0.3	0.075	0.12	0.12
farm_mechanization	benefit	2450	0.06	1.0	0.18	0.195
farm_mechanization	benefit	2500	0.6	0.15	0.27	0.27
farm_mechanization	benefit	2550	0.98	0.107	0.375	0.375
farm_mechanization	benefit	2600	0.36	0.292	0.48	0.48
farm_mechanization	benefit	2700	0.12	1.0	0.6	0.9
farm_mechanization	benefit	2750	2.06	0.328	1.275	1.275
farm_mechanization	benefit	2800	1.36	0.276	1.65	1.65
farm_mechanization	benefit	2850	0.82	0.494	2.055	2.055
farm_mechanization	benefit	2900	0.12	1.0	2.175	2.46
farm_mechanization	benefit	2950	0.2	1.0	2.375	2.73
farm_mechanization	benefit	3000	0.18	1.0	2.555	3.0
fatigue	benefit	50	0.0749	1.0	0.0749	0.075
fatigue	cost	50	0.012	1.0	0.012	0.1444
fatigue	benefit	100	0.009	1.0	0.0839	0.084
fatigue	benefit	150	0.0074	1.0	0.0913	0.0915
fatigue	cost	150	0.01	1.0	0.022	0.1631
fatigue	benefit	200	0.0076	1.0	0.0989	0.099
fatigue	cost	200	0.01	1.0	0.032	0.1725
fatigue	benefit	250	0.0068	1.0	0.1057	0.1058
fatigue	cost	250	0.008	1.0	0.04	0.1819
fatigue	benefit	300	0.0067	1.0	0.1124	0.1125
fatigue	benefit	350	0.0065	1.0	0.1189	0.119
fatigue	benefit	400	0.0064	1.0	0.1253	0.1255
fatigue	benefit	450	0.0065	1.0	0.1318	0.132
fatigue	cost	450	0.0035	1.0	0.0435	0.2194
fatigue	benefit	500	0.006	1.0	0.1378	0.138
fatigue	cost	500	0.0035	1.0	0.047	0.2287
fatigue	benefit	550	0.006	1.0	0.1438	0.144
fatigue	cost	600	0.01	1.0	0.057	0.2475
fatigue	benefit	650	0.012	0.656	0.1517	0.1517
fatigue	benefit	700	0.004	0.417	0.1533	0.1533
fatigue	benefit	750	0.0056	0.298	0.155	0.155
fatigue	cost	750	0.0078	1.0	0.0648	0.2554
fatigue	benefit	800	0.0097	0.172	0.1567	0.1567
fatigue	cost	800	0.006	1.0	0.0708	0.258
fatigue	benefit	850	0.021	0.079	0.1583	0.1583
fatigue	cost	850	0.007	1.0	0.0778	0.2606
fatigue	benefit	900	0.006	0.278	0.16	0.16
fatigue	benefit	950	0.0105	0.159	0.1617	0.1617
fatigue	cost	950	0.0026	1.0	0.0804	0.2659
fatigue	benefit	1000	0.0034	0.49	0.1633	0.1633
fatigue	cost	1000	0.007	1.0	0.0874	0.2685
fatigue	benefit	1050	0.0117	0.142	0.165	0.165
fatigue	cost	1050	0.004	1.0	0.0914	0.2711
fatigue	benefit	1100	0.0124	0.134	0.1667	0.1667
fatigue	benefit	1150	0.0114	0.146	0.1683	0.1683
fatigue	benefit	1200	0.0078	0.214	0.17	0.17
fatigue	cost	1200	0.004	1.0	0.0954	0.279
fatigue	cost	1300	0.003	1.0	0.0984	0.2835
fatigue	benefit	1350	0.004	1.0	0.174	0.175
fatigue	cost	1350	0.008	1.0	0.1064	0.2858
fatigue	cost	1400	0.002	1.0	0.1084	0.288
fatigue	benefit	1450	0.007	0.619	0.1783	0.1783
fatigue	cost	1450	0.003	1.0	0.1114	0.2903
fatigue	benefit	1500	0.004	0.417	0.18	0.18
fatigue	cost	1500	0.007	1.0	0.1184	0.2925
fatigue	cost	1550	0.002	1.0	0.1204	0.2948
fatigue	benefit	1600	0.007	0.476	0.1833	0.1833
fatigue	cost	1600	0.002	1.0	0.1224	0.297
fatigue	cost	1650	0.002	1.0	0.1244	0.2993
fatigue	benefit	1700	0.002	1.0	0.1853	0.1867
fatigue	cost	1700	0.002	1.0	0.1264	0.3015
fatigue	benefit	1750	0.005	0.6	0.1883	0.1883
fatigue	cost	1750	0.007	1.0	0.1334	0.3038
fatigue	cost	1800	0.007	1.0	0.1404	0.306
fatigue	benefit	1850	0.002	1.0	0.1903	0.1922
fatigue	cost	1850	0.002	1.0	0.1424	0.3083
fatigue	benefit	1900	0.0076	0.526	0.1943	0.1943
fatigue	cost	1900	0.007	1.0	0.1494	0.3105
fatigue	cost	1950	0.0048	1.0	0.1542	0.3128
fatigue	benefit	2000	0.004	1.0	0.1983	0.1987
fatigue	cost	2000	0.0083	1.0	0.1625	0.315
fatigue	cost	2050	0.0015	1.0	0.164	0.3173
fatigue	benefit	2100	0.002	1.0	0.2003	0.203
fatigue	cost	2100	0.0038	1.0	0.1678	0.3195
fatigue	benefit	2150	0.002	1.0	0.2023	0.2052
fatigue	cost	2250	0.006	1.0	0.1738	0.3262
fatigue	benefit	2300	0.0063	1.0	0.2086	0.2117
fatigue	cost	2300	0.0045	1.0	0.1783	0.3285
fatigue	cost	2350	0.0083	1.0	0.1866	0.3307
fatigue	benefit	2400	0.0023	1.0	0.2109	0.216
fatigue	cost	2400	0.0045	1.0	0.1911	0.333
fatigue	benefit	2450	0.013	0.928	0.223	0.223
fatigue	cost	2450	0.013	1.0	0.2041	0.3364
fatigue	benefit	2500	0.01	0.7	0.23	0.23
fatigue	cost	2500	0.005	1.0	0.2091	0.3397
fatigue	benefit	2550	0.021	0.381	0.238	0.238
fatigue	cost	2550	0.003	1.0	0.2121	0.3431
fatigue	benefit	2600	0.003	1.0	0.241	0.246
fatigue	cost	2600	0.01	1.0	0.2221	0.3465
fatigue	benefit	2650	0.006	1.0	0.247	0.256
fatigue	cost	2650	0.004	1.0	0.2261	0.3499
fatigue	benefit	2700	0.015	1.0	0.262	0.266
fatigue	cost	2700	0.009	1.0	0.2351	0.3533
fatigue	benefit	2750	0.025	0.64	0.278	0.278
fatigue	cost	2750	0.01	1.0	0.2451	0.3566
fatigue	benefit	2800	0.0126	0.952	0.29	0.29
fatigue	cost	2800	0.007	1.0	0.2521	0.36
fatigue	benefit	2850	0.0046	1.0	0.2946	0.305
fatigue	cost	2850	0.006	1.0	0.2581	0.3656
fatigue	cost	2900	0.0056	1.0	0.2637	0.3712
fatigue	benefit	2950	0.006	1.0	0.3006	0.335
fatigue	cost	2950	0.0122	1.0	0.2759	0.3769
fatigue	benefit	3000	0.017	1.0	0.3176	0.35
fatigue	cost	3000	0.0058	1.0	0.2817	0.3825
fertility_transition	benefit	2450	0.05	0.78	0.039	0.039
fertility_transition	benefit	2500	0.05	0.78	0.078	0.078
fertility_transition	benefit	2550	0.175	0.483	0.1625	0.1625
fertility_transition	benefit	2600	0.25	0.338	0.247	0.247
fertility_transition	benefit	2650	0.425	0.153	0.312	0.312
fertility_transition	benefit	2750	0.125	0.936	0.429	0.429
fertility_transition	benefit	2800	0.15	0.347	0.481	0.481
fertility_transition	cost	2800	0.075	1.0	0.075	0.08
fertility_transition	benefit	2850	0.45	0.101	0.5265	0.5265
fertility_transition	benefit	2900	0.25	0.182	0.572	0.572
fertility_transition	benefit	2950	0.025	1.0	0.597	0.611
fertility_transition	cost	3000	0.05	0.2	0.085	0.085
fiber_yield	benefit	50	0.16	1.0	0.16	0.225
fiber_yield	benefit	100	0.01	1.0	0.17	0.252
fiber_yield	benefit	150	0.02	1.0	0.19	0.2745
fiber_yield	benefit	200	0.05	1.0	0.24	0.297
fiber_yield	benefit	400	0.03	1.0	0.27	0.3765
fiber_yield	benefit	450	0.02	1.0	0.29	0.396
fiber_yield	benefit	500	0.02	1.0	0.31	0.414
fiber_yield	benefit	650	0.003	1.0	0.313	0.4537
fiber_yield	benefit	800	0.01	1.0	0.323	0.465
fiber_yield	benefit	950	0.007	1.0	0.33	0.4763
fiber_yield	benefit	1000	0.0086	1.0	0.3386	0.48
fiber_yield	benefit	1050	0.0043	1.0	0.3429	0.4838
fiber_yield	benefit	1100	0.007	1.0	0.3499	0.4875
fiber_yield	benefit	1300	0.012	1.0	0.3619	0.5025
fiber_yield	benefit	1350	0.012	1.0	0.3739	0.5062
fiber_yield	benefit	1500	0.014	1.0	0.3879	0.5175
fiber_yield	benefit	1550	0.002	1.0	0.3899	0.5212
fiber_yield	benefit	1650	0.005	1.0	0.3949	0.5288
fiber_yield	benefit	1700	0.004	1.0	0.3989	0.5325
fiber_yield	benefit	1750	0.008	1.0	0.4069	0.5363
fiber_yield	cost	1750	0.002	1.0	0.002	0.27
fiber_yield	cost	1800	0.001	1.0	0.003	0.272
fiber_yield	benefit	1900	0.008	1.0	0.4149	0.5497
fiber_yield	benefit	1950	0.0156	1.0	0.4305	0.5546
fiber_yield	cost	1950	0.006	1.0	0.009	0.278
fiber_yield	benefit	2000	0.003	1.0	0.4335	0.5595
fiber_yield	benefit	2050	0.002	1.0	0.4355	0.5644
fiber_yield	benefit	2150	0.0013	1.0	0.4368	0.5741
fiber_yield	benefit	2250	0.01	1.0	0.4468	0.5839
fiber_yield	benefit	2300	0.0078	1.0	0.4546	0.5887
fiber_yield	benefit	2350	0.0502	1.0	0.5048	0.5936
fiber_yield	benefit	2400	0.0316	1.0	0.5364	0.5985
fiber_yield	benefit	2450	0.0176	1.0	0.554	0.6142
fiber_yield	benefit	2500	0.01	1.0	0.564	0.63
fiber_yield	benefit	2550	0.0048	1.0	0.5688	0.648
fiber_yield	benefit	2600	0.0048	1.0	0.5736	0.666
fiber_yield	cost	2600	0.001	1.0	0.01	0.308
fiber_yield	benefit	2700	0.0176	1.0	0.5912	0.711
fiber_yield	benefit	2750	0.0048	1.0	0.596	0.738
fiber_yield	benefit	2800	0.0272	1.0	0.6232	0.765
fiber_yield	benefit	2850	0.0128	1.0	0.636	0.7987
food_output	benefit	50	0.175	1.0	0.175	0.175
food_output	benefit	100	0.021	1.0	0.196	0.196
food_output	benefit	150	0.01	1.0	0.206	0.2135
food_output	benefit	200	0.025	1.0	0.231	0.231
food_output	benefit	250	0.01	1.0	0.241	0.2467
food_output	benefit	300	0.015	1.0	0.256	0.2625
food_output	benefit	350	0.02	1.0	0.276	0.2777
food_output	benefit	400	0.0168	1.0	0.2928	0.2928
food_output	benefit	450	0.0151	1.0	0.3079	0.308
food_output	benefit	500	0.014	1.0	0.3219	0.322
food_output	benefit	550	0.014	1.0	0.3359	0.336
food_output	benefit	650	0.0073	1.0	0.3432	0.3537
food_output	benefit	700	0.0032	1.0	0.3464	0.3575
food_output	cost	700	0.0017	1.0	0.0017	0.1966
food_output	benefit	750	0.0137	1.0	0.3601	0.3612
food_output	benefit	800	0.0074	0.662	0.365	0.365
food_output	benefit	850	0.0236	0.159	0.3687	0.3687
food_output	benefit	900	0.0268	0.14	0.3725	0.3725
food_output	benefit	950	0.0081	0.463	0.3762	0.3762
food_output	benefit	1000	0.0274	0.137	0.38	0.38
food_output	cost	1000	0.0017	1.0	0.0034	0.2088
food_output	benefit	1050	0.0103	0.364	0.3837	0.3837
food_output	benefit	1100	0.0074	0.507	0.3875	0.3875
food_output	cost	1100	0.0008	1.0	0.0042	0.2129
food_output	benefit	1150	0.0205	0.183	0.3912	0.3912
food_output	benefit	1200	0.0083	0.452	0.395	0.395
food_output	benefit	1250	0.01	0.375	0.3987	0.3987
food_output	benefit	1300	0.018	0.208	0.4025	0.4025
food_output	cost	1300	0.002	1.0	0.0062	0.2205
food_output	benefit	1350	0.0193	0.194	0.4062	0.4062
food_output	cost	1350	0.002	1.0	0.0082	0.2222
food_output	benefit	1400	0.0144	0.26	0.41	0.41
food_output	benefit	1450	0.0321	0.117	0.4137	0.4137
food_output	cost	1450	0.001	1.0	0.0092	0.2257
food_output	benefit	1500	0.0225	0.167	0.4175	0.4175
food_output	cost	1500	0.003	1.0	0.0122	0.2275
food_output	benefit	1550	0.0175	0.214	0.4213	0.4213
food_output	cost	1550	0.002	1.0	0.0142	0.2292
food_output	benefit	1600	0.008	0.469	0.425	0.425
food_output	benefit	1650	0.0136	0.276	0.4287	0.4287
food_output	cost	1650	0.002	1.0	0.0162	0.2327
food_output	benefit	1700	0.014	0.268	0.4325	0.4325
food_output	cost	1700	0.004	1.0	0.0202	0.2345
food_output	benefit	1750	0.005	0.75	0.4362	0.4362
food_output	cost	1750	0.003	1.0	0.0232	0.2362
food_output	benefit	1800	0.02	0.188	0.44	0.44
food_output	cost	1800	0.003	1.0	0.0262	0.238
food_output	benefit	1850	0.016	0.305	0.4449	0.4449
food_output	benefit	1900	0.013	0.375	0.4497	0.4497
food_output	cost	1900	0.015	1.0	0.0412	0.2415
food_output	benefit	1950	0.042	0.116	0.4546	0.4546
food_output	cost	1950	0.006	1.0	0.0472	0.2432
food_output	benefit	2000	0.041	0.119	0.4595	0.4595
food_output	cost	2000	0.006	1.0	0.0532	0.245
food_output	benefit	2050	0.017	0.287	0.4644	0.4644
food_output	cost	2050	0.003	1.0	0.0562	0.2467
food_output	benefit	2100	0.026	0.188	0.4693	0.4693
food_output	cost	2100	0.004	1.0	0.0602	0.2485
food_output	benefit	2150	0.011	0.443	0.4741	0.4741
food_output	cost	2150	0.005	1.0	0.0652	0.2502
food_output	benefit	2200	0.005	0.975	0.479	0.479
food_output	cost	2200	0.004	1.0	0.0692	0.252
food_output	benefit	2250	0.014	0.348	0.4839	0.4839
food_output	cost	2250	0.007	1.0	0.0762	0.2537
food_output	benefit	2300	0.0076	0.641	0.4888	0.4888
food_output	cost	2300	0.001	1.0	0.0772	0.2555
food_output	benefit	2350	0.0426	0.114	0.4936	0.4936
food_output	cost	2350	0.003	1.0	0.0802	0.2572
food_output	benefit	2400	0.012	0.406	0.4985	0.4985
food_output	cost	2400	0.012	1.0	0.0922	0.259
food_output	benefit	2450	0.0078	1.0	0.5063	0.5142
food_output	cost	2450	0.002	1.0	0.0942	0.2616
food_output	benefit	2500	0.0273	0.868	0.53	0.53
food_output	cost	2500	0.001	1.0	0.0952	0.2642
food_output	benefit	2550	0.0195	0.923	0.548	0.548
food_output	benefit	2600	0.0156	1.0	0.5636	0.566
food_output	cost	2600	0.003	1.0	0.0982	0.2695
food_output	benefit	2650	0.0205	1.0	0.5841	0.5885
food_output	benefit	2700	0.0065	1.0	0.5906	0.611
food_output	benefit	2750	0.0169	1.0	0.6075	0.638
food_output	cost	2750	0.002	1.0	0.1002	0.2774
food_output	benefit	2800	0.0143	1.0	0.6218	0.665
food_output	cost	2800	0.004	1.0	0.1042	0.28
food_output	benefit	2850	0.0221	1.0	0.6439	0.6987
food_output	benefit	2900	0.0117	1.0	0.6556	0.7325
food_output	cost	2900	0.003	1.0	0.1072	0.2887
food_output	benefit	2950	0.0013	1.0	0.6569	0.7663
food_output	cost	2950	0.001	1.0	0.1082	0.2931
food_output	benefit	3000	0.0052	1.0	0.6621	0.8
food_output	cost	3000	0.003	1.0	0.1112	0.2975
food_spoilage	benefit	50	0.2	1.0	0.2	0.2
food_spoilage	benefit	100	0.0241	1.0	0.2241	0.224
food_spoilage	benefit	150	0.02	1.0	0.2441	0.244
food_spoilage	benefit	200	0.02	1.0	0.2641	0.264
food_spoilage	benefit	250	0.018	1.0	0.2821	0.282
food_spoilage	benefit	300	0.01	1.0	0.2921	0.3
food_spoilage	benefit	350	0.0253	1.0	0.3174	0.3173
food_spoilage	benefit	400	0.0173	1.0	0.3347	0.3347
food_spoilage	benefit	500	0.0333	1.0	0.368	0.368
food_spoilage	benefit	550	0.016	1.0	0.384	0.384
food_spoilage	benefit	600	0.016	1.0	0.4	0.4
food_spoilage	benefit	650	0.014	0.208	0.4029	0.4029
food_spoilage	benefit	700	0.005	0.583	0.4058	0.4058
food_spoilage	benefit	750	0.003	0.972	0.4088	0.4088
food_spoilage	benefit	800	0.007	0.417	0.4117	0.4117
food_spoilage	benefit	900	0.007	0.833	0.4175	0.4175
food_spoilage	benefit	1000	0.013	0.449	0.4233	0.4233
food_spoilage	benefit	1050	0.0064	0.456	0.4263	0.4263
food_spoilage	benefit	1100	0.011	0.265	0.4292	0.4292
food_spoilage	benefit	1150	0.004	0.729	0.4321	0.4321
food_spoilage	benefit	1200	0.0017	1.0	0.4338	0.435
food_spoilage	benefit	1250	0.006	0.689	0.4379	0.4379
food_spoilage	benefit	1300	0.006	0.486	0.4408	0.4408
food_spoilage	benefit	1400	0.002	1.0	0.4428	0.4467
food_spoilage	benefit	1450	0.003	1.0	0.4458	0.4496
food_spoilage	benefit	1500	0.006	1.0	0.4518	0.4525
food_spoilage	benefit	1550	0.003	1.0	0.4548	0.4554
food_spoilage	benefit	1600	0.003	1.0	0.4578	0.4583
food_spoilage	benefit	1650	0.0045	0.759	0.4612	0.4612
food_spoilage	benefit	1700	0.009	0.324	0.4642	0.4642
food_spoilage	benefit	1750	0.0115	0.254	0.4671	0.4671
food_spoilage	benefit	1800	0.0075	0.389	0.47	0.47
food_spoilage	benefit	1850	0.0165	0.23	0.4738	0.4738
food_spoilage	benefit	1900	0.0075	0.506	0.4776	0.4776
food_spoilage	benefit	1950	0.0245	0.155	0.4814	0.4814
food_spoilage	benefit	2100	0.009	1.0	0.4904	0.4928
food_spoilage	benefit	2150	0.01	0.617	0.4965	0.4965
food_spoilage	benefit	2200	0.005	0.758	0.5003	0.5003
food_spoilage	benefit	2300	0.001	1.0	0.5013	0.5079
food_spoilage	benefit	2350	0.01	1.0	0.5113	0.5117
food_spoilage	benefit	2400	0.0125	0.333	0.5155	0.5155
food_spoilage	benefit	2450	0.0187	0.655	0.5278	0.5278
food_spoilage	benefit	2500	0.0115	1.0	0.5393	0.54
food_spoilage	benefit	2550	0.0128	1.0	0.5521	0.554
food_spoilage	benefit	2600	0.017	0.938	0.568	0.568
food_spoilage	benefit	2650	0.0125	1.0	0.5805	0.5855
food_spoilage	benefit	2700	0.0034	1.0	0.5839	0.603
food_spoilage	benefit	2750	0.0261	1.0	0.61	0.624
food_spoilage	benefit	2800	0.0173	1.0	0.6273	0.645
food_spoilage	benefit	2850	0.0323	1.0	0.6596	0.6712
food_storage	benefit	50	0.275	1.0	0.275	0.275
food_storage	cost	50	0.005	1.0	0.005	0.1283
food_storage	benefit	100	0.0331	1.0	0.3081	0.308
food_storage	cost	100	0.02	1.0	0.025	0.1367
food_storage	benefit	150	0.0275	1.0	0.3356	0.3355
food_storage	benefit	200	0.0274	1.0	0.363	0.363
food_storage	cost	200	0.01	1.0	0.035	0.1533
food_storage	benefit	250	0.0247	1.0	0.3877	0.3878
food_storage	benefit	300	0.0247	1.0	0.4124	0.4125
food_storage	benefit	350	0.0239	1.0	0.4363	0.4363
food_storage	cost	350	0.01	1.0	0.045	0.1783
food_storage	benefit	400	0.0238	1.0	0.4601	0.4602
food_storage	benefit	450	0.0238	1.0	0.4839	0.484
food_storage	cost	450	0.005	1.0	0.05	0.195
food_storage	benefit	500	0.022	1.0	0.5059	0.506
food_storage	benefit	550	0.022	1.0	0.5279	0.528
food_storage	cost	550	0.005	1.0	0.055	0.2117
food_storage	benefit	600	0.022	1.0	0.5499	0.55
food_storage	cost	600	0.005	1.0	0.06	0.22
food_storage	benefit	650	0.0209	0.264	0.5554	0.5554
food_storage	cost	650	0.0116	1.0	0.0716	0.2223
food_storage	benefit	700	0.0225	0.241	0.5608	0.5608
food_storage	benefit	750	0.0294	0.184	0.5663	0.5663
food_storage	cost	750	0.0036	1.0	0.0752	0.227
food_storage	benefit	800	0.016	0.339	0.5717	0.5717
food_storage	cost	800	0.0084	1.0	0.0836	0.2293
food_storage	benefit	850	0.0145	0.374	0.5771	0.5771
food_storage	cost	850	0.0012	1.0	0.0848	0.2317
food_storage	benefit	900	0.0133	0.407	0.5825	0.5825
food_storage	benefit	950	0.0092	0.589	0.5879	0.5879
food_storage	benefit	1000	0.0177	0.306	0.5933	0.5933
food_storage	cost	1000	0.0016	1.0	0.0864	0.2387
food_storage	benefit	1050	0.0178	0.304	0.5988	0.5988
food_storage	cost	1050	0.0008	1.0	0.0872	0.241
food_storage	benefit	1100	0.0109	0.497	0.6042	0.6042
food_storage	cost	1100	0.0012	1.0	0.0884	0.2433
food_storage	benefit	1150	0.0073	0.742	0.6096	0.6096
food_storage	benefit	1200	0.0071	0.763	0.615	0.615
food_storage	benefit	1250	0.0105	0.516	0.6204	0.6204
food_storage	cost	1250	0.001	1.0	0.0894	0.25
food_storage	benefit	1300	0.0186	0.291	0.6258	0.6258
food_storage	benefit	1350	0.0136	0.398	0.6313	0.6313
food_storage	cost	1350	0.002	1.0	0.0914	0.254
food_storage	benefit	1400	0.0081	0.669	0.6367	0.6367
food_storage	benefit	1450	0.009	0.602	0.6421	0.6421
food_storage	benefit	1500	0.015	0.361	0.6475	0.6475
food_storage	cost	1500	0.0067	1.0	0.0981	0.26
food_storage	benefit	1550	0.0074	0.732	0.6529	0.6529
food_storage	benefit	1600	0.0061	0.888	0.6583	0.6583
food_storage	cost	1600	0.002	1.0	0.1001	0.264
food_storage	benefit	1650	0.0199	0.272	0.6638	0.6638
food_storage	cost	1650	0.002	1.0	0.1021	0.266
food_storage	benefit	1700	0.0163	0.332	0.6692	0.6692
food_storage	benefit	1750	0.0273	0.198	0.6746	0.6746
food_storage	cost	1750	0.003	1.0	0.1051	0.27
food_storage	benefit	1800	0.0352	0.154	0.68	0.68
food_storage	cost	1800	0.0015	1.0	0.1066	0.272
food_storage	benefit	1850	0.0179	0.393	0.687	0.687
food_storage	benefit	1900	0.0216	0.326	0.6941	0.6941
food_storage	benefit	1950	0.0278	0.253	0.7011	0.7011
food_storage	benefit	2000	0.003	1.0	0.7041	0.7082
food_storage	cost	2000	0.0008	1.0	0.1074	0.28
food_storage	benefit	2050	0.0096	1.0	0.7137	0.7152
food_storage	benefit	2100	0.0212	0.402	0.7223	0.7223
food_storage	benefit	2150	0.0068	1.0	0.7291	0.7293
food_storage	cost	2150	0.002	1.0	0.1094	0.286
food_storage	benefit	2200	0.0076	0.958	0.7363	0.7363
food_storage	cost	2200	0.0042	1.0	0.1136	0.288
food_storage	benefit	2250	0.0097	0.726	0.7434	0.7434
food_storage	cost	2300	0.002	1.0	0.1156	0.292
food_storage	benefit	2350	0.0266	0.529	0.7575	0.7575
food_storage	cost	2350	0.0014	1.0	0.117	0.294
food_storage	benefit	2400	0.0171	0.412	0.7645	0.7645
food_storage	cost	2400	0.0015	1.0	0.1185	0.296
food_storage	benefit	2450	0.0242	0.94	0.7873	0.7873
food_storage	benefit	2500	0.014	1.0	0.8013	0.81
food_storage	cost	2500	0.0008	1.0	0.1193	0.302
food_storage	benefit	2550	0.0364	0.955	0.836	0.836
food_storage	cost	2550	0.0006	1.0	0.1199	0.305
food_storage	benefit	2600	0.0306	0.85	0.862	0.862
food_storage	benefit	2650	0.028	1.0	0.89	0.8945
food_storage	benefit	2700	0.002	1.0	0.892	0.927
food_storage	benefit	2750	0.0374	1.0	0.9294	0.966
food_storage	benefit	2800	0.0108	1.0	0.9402	1.005
food_storage	benefit	2850	0.0326	1.0	0.9728	1.0537
