effect	block_end_year	raw_block_total	scale	running_total	target
timber_yield	600	0.06	1.0	0.325	0.45
tool_quality	50	0.37	0.324	0.12	0.12
tool_quality	100	0.124	0.194	0.144	0.144
tool_quality	150	0.115	0.191	0.166	0.166
tool_quality	200	0.078	0.282	0.188	0.188
tool_quality	250	0.004	1.0	0.192	0.21
tool_quality	300	0.026	1.0	0.218	0.232
tool_quality	350	0.03	1.0	0.248	0.2587
tool_quality	400	0.142	0.263	0.2853	0.2853
tool_quality	450	0.008	1.0	0.2933	0.312
tool_quality	500	0.015	1.0	0.3083	0.3413
trade_capacity	50	0.1356	0.996	0.135	0.135
trade_capacity	100	0.1982	0.136	0.162	0.162
trade_capacity	150	0.0662	0.374	0.1867	0.1867
trade_capacity	200	0.1977	0.125	0.2115	0.2115
trade_capacity	250	0.086	0.288	0.2362	0.2362
trade_capacity	300	0.1087	0.228	0.261	0.261
trade_capacity	350	0.0905	0.331	0.291	0.291
trade_capacity	400	0.1477	0.203	0.321	0.321
trade_capacity	450	0.3001	0.1	0.351	0.351
trade_capacity	500	0.0733	0.45	0.384	0.384
trade_capacity	550	0.264	0.125	0.417	0.417
trade_capacity	600	0.141	0.234	0.45	0.45
travel_speed	50	0.18	0.5	0.09	0.09
travel_speed	100	0.02	0.9	0.108	0.108
travel_speed	500	0.1	1.0	0.208	0.256
travel_speed	550	0.06	1.0	0.268	0.278
travel_speed	600	0.04	0.8	0.3	0.3
warfare_readiness	50	0.1756	0.769	0.135	0.135
warfare_readiness	100	0.009	1.0	0.144	0.162
warfare_readiness	150	0.0964	0.443	0.1867	0.1867
warfare_readiness	200	0.0502	0.493	0.2115	0.2115
warfare_readiness	250	0.0202	1.0	0.2317	0.2362
warfare_readiness	300	0.1392	0.21	0.261	0.261
warfare_readiness	350	0.0847	0.354	0.291	0.291
warfare_readiness	400	0.1947	0.154	0.321	0.321
warfare_readiness	450	0.1433	0.209	0.351	0.351
warfare_readiness	500	0.0987	0.334	0.384	0.384
warfare_readiness	550	0.1148	0.287	0.417	0.417
warfare_readiness	600	0.1435	0.23	0.45	0.45
water_access	50	0.049	1.0	0.049	0.12
water_access	100	0.03	1.0	0.079	0.144
water_access	150	0.042	1.0	0.121	0.166
water_access	250	0.069	1.0	0.19	0.21
water_access	300	0.042	1.0	0.232	0.232
water_access	400	0.088	0.606	0.2853	0.2853
water_access	450	0.057	0.468	0.312	0.312
water_access	500	0.055	0.533	0.3413	0.3413
water_access	550	0.049	0.599	0.3707	0.3707
water_access	600	0.007	1.0	0.3777	0.4
water_pollution	150	0.01	1.0	0.01	0.0488
water_pollution	200	0.01	1.0	0.02	0.0528
water_pollution	400	0.015	1.0	0.035	0.0669
water_pollution	550	0.03	1.0	0.065	0.0768
water_safety	50	0.376	0.372	0.14	0.14
water_safety	100	0.055	0.305	0.1568	0.1568
water_safety	150	0.06	0.233	0.1708	0.1708
water_safety	200	0.045	0.311	0.1848	0.1848
water_safety	250	0.063	0.2	0.1974	0.1974
water_safety	300	0.075	0.168	0.21	0.21
water_safety	350	0.125	0.097	0.2221	0.2221
water_safety	400	0.038	0.319	0.2343	0.2343
water_safety	450	0.072	0.169	0.2464	0.2464
water_safety	550	0.018	1.0	0.2644	0.2688
water_safety	600	0.018	0.867	0.28	0.28
